status,message,corp_name,corp_name_eng,stock_name,stock_code,ceo_nm,corp_cls,jurir_no,bizr_no,adres,hm_url,ir_url,phn_no,fax_no,induty_code,est_dt,acc_mt
000,정상,삼성전자(주),"SAMSUNG ELECTRONICS CO,.LTD",삼성전자,005930,"한종희, 경계현",Y,1301110006246,1248100998,경기도 수원시 영통구  삼성로 129 (매탄동),www.sec.co.kr,,031-200-1114,031-200-7538,264,19690113,12
000,정상,(주)엘지에너지솔루션,"LG ENERGY SOLUTION, LTD.",LG에너지솔루션,373220,권영수,Y,1101117701356,8518102050,"서울특별시 영등포구 여의대로 108, 타워 1",www.lgensol.com,,02-3777-1114,,28202,20201201,12
000,정상,에스케이하이닉스(주),SK hynix Inc.,SK하이닉스,000660,"박정호, 곽노정 (각자대표)",Y,1344110001387,1268103725,경기도 이천시  부발읍 경충대로 2091,www.skhynix.com,,031-630-4114,031-645-8078,2612,19491015,12
000,정상,삼성바이오로직스(주),"SAMSUNG BIOLOGICS CO.,LTD.",삼성바이오로직스,207940,임존종보 (Rim John Chongbo),Y,1201110566317,1318627632,인천광역시 연수구 송도바이오대로 300,www.samsungbiologics.com,,032-455-3114,032-455-3825,21102,20110422,12
000,정상,(주)LG화학,LG CHEM LTD,LG화학,051910,신학철,Y,1101112207995,1078198139,서울특별시 영등포구  여의대로 128,www.lgchem.com,,02-3777-1114,02-3773-7813,20111,20010401,12
000,정상,현대자동차(주),HYUNDAI MOTOR CO,현대자동차,005380,"정의선, 장재훈, 이동석(각자 대표이사)",Y,1101110085450,1018109147,서울특별시 서초구  헌릉로 12,www.hyundai.com,,02-3464-1114,02-3464-8719,30121,19671229,12
000,정상,삼성SDI(주),"SAMSUNG SDI CO.,LTD",삼성SDI,006400,최윤호,Y,1101110394174,1248131282,경기도 용인시 기흥구  공세로 150-20,www.samsungsdi.co.kr,,031-8006-3100,031-8006-3968,28202,19700120,12
000,정상,네이버(주),NAVER Corporation,NAVER,035420,최수연,Y,1101111707178,2208162517,경기도 성남시 분당구 정자일로 95 1784,www.navercorp.com,,1588-3830,031-784-4175,63120,19990602,12
000,정상,기아(주),KIA CORPORATION,기아,000270,"송호성,최준영(각자 대표이사)",Y,1101110037998,1198102316,서울특별시 서초구 헌릉로 12 기아자동차,www.kia.co.kr,,02-3464-1114,02-3464-6813,30121,19441210,12
000,정상,(주)카카오,Kakao Corp.,카카오,035720,"남궁훈, 홍은택 각자 대표이사",Y,1101111129497,1208147521,제주특별자치도 제주시 첨단로 242,www.kakaocorp.com,,02-6718-1082,02-6003-5401,63120,19950216,12
000,정상,(주)셀트리온,"Celltrion, Inc.",셀트리온,068270,기우성,Y,1350110034038,1338123603,인천광역시 연수구 아카데미로 23,www.celltrion.com,,032-850-5000,032-850-5036,21102,19910227,12
000,정상,삼성물산(주),SAMSUNG C&T CORPORATION,삼성물산,028260,"고정석, 오세철, 한승환",Y,1101110015762,2028145975,서울특별시 강동구 상일로6길 26 -,www.samsungcnt.com,,02-2145-5114,,467,19631223,12
000,정상,포스코홀딩스(주),POSCO Holdings Inc.,POSCO홀딩스,005490,"대표이사 회장    최정우, 대표이사 사장    전중선",Y,1746110000741,5068100017,서울특별시 강남구 테헤란로 440 포스코센터,www.posco.co.kr,,054-220-0114,0562)220-6000,2411,19680401,12
000,정상,현대모비스(주),"HYUNDAI MOBIS CO.,LTD",현대모비스,012330,"정의선, 조성환",Y,1101110215536,1018116406,서울 강남구 역삼1동 로담코빌딩 140-2,www.mobis.co.kr,www.mobis.co.kr,02-2018-5114,02-2173-5223,303,19770701,12
000,정상,(주)KB금융지주,KB Financial Group Inc.,KB금융,105560,윤종규,Y,1101113975517,2018608254,"서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)",www.kbfg.com,,02-2073-7114,,64992,20080929,12
000,정상,(주)신한금융지주회사,"SHINHAN FINANCIAL GROUP CO.,LTD",신한지주,055550,조용병,Y,1101112322438,1048164625,서울특별시 중구 세종대로9길 20 태평로2가,www.shinhangroup.com,,02-6360-3000,02-6360-3098,64992,20010901,12
000,정상,SK이노베이션(주),"SK Innovation Co., Ltd.",SK이노베이션,096770,김준,Y,1101113710385,1018632319,서울특별시 종로구  종로 26,www.SKinnovation.com,,02-2121-5114,02-2121-2118,192,20070703,12
000,정상,SK(주),SK Inc.,SK,034730,"최태원, 장동현, 박성하",Y,1101110769583,2208116503,서울특별시 종로구 종로 26 SK주식회사,www.sk-inc.com/,,02-2121-5114,02-2121-1789,64992,19910413,12
000,정상,LG전자(주),LG ELECTRONICS INC.,LG전자,066570,"조주완, 배두용 (각자 대표이사)",Y,1101112487050,1078614075,서울특별시 영등포구  여의대로 128 LG트윈타워,www.lge.co.kr,www.lge.co.kr/company/investor/presentation#com-tabs01,02-3777-1114,3777-3428,264,20020401,12
000,정상,삼성생명보험(주),"Samsung Life Insurance co., Ltd",삼성생명,032830,전영묵,Y,1101110005953,1048126688,서울특별시 서초구 서초대로74길 11 (서초동) 삼성생명보험 주식회사,www.samsunglife.com,,02-751-8157,02-751-8100,65110,19570404,12
